MPN,Ref,EPID,Title,Brand,Model,Movement,Beats per Hour,Jewels,Style,Case Material,Water Resistance,Watch Shape,Case Thickness,Case Width,Band Width
SRP193,4R36-00P0,,"Seiko Diver Seiko SRP193 (4R36-00P0) Sports, Diver Automatic Men's or Women's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,36mm(without crown),16mm
SRP194,4R36-00P0,,"Seiko Diver Seiko SRP194 (4R36-00P0) Sports, Diver Automatic Men's or Women's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,36mm(without crown),16mm
SRP196,4R36-00P0,,"Seiko Diver Seiko SRP196 (4R36-00P0) Sports, Diver Automatic Men's or Women's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,36mm(without crown),16mm
SRP227,,,,,,,,,,,,,,,
SRP229K1,,,,,,,,,,,,,,,
SRP236K,,,,,,,,,,,,,,,
SRP237,,,"Seiko Diver Seiko SRP237 Sports, Diver Automatic Men's or Women's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,36mm(without crown),17mm
SRP301J1,,,Seiko 5 SRP301 Sports Automatic Men's,Seiko,Seiko 5,Automatic,,,Sports,Stainless Steel,100 Meters(baths & shallow diving),Round,12mm,40mm(without crown),20mm
SRP307,4R36-01J0,,"Seiko Diver SRP307 ""2nd Generation Black Monster"" (4R36-01J0) Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,12mm,42mm(without crown),20mm
SRP307J1,4R36-01J0,,"Seiko Diver SRP307 ""2nd Generation Black Monster"" (4R36-01J0) Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,12mm,42mm(without crown),20mm
SRP313,,,,,,,,,,,,,,,
SRP313J1,4R36-01J0,,"Seiko Diver SRP313 ""2nd Generation Monster"" (4R36-01J0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,12mm,42mm(without crown),20mm
SRP313K1,,,,,,,,,,,,,,,
SRP345J1,4R36-01V0,,Seiko 5 SRP345 (4R36-01V0) Sports Automatic Men's,Seiko,Seiko 5,Automatic,,,Sports,Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,42mm(without crown),22mm
SRP363J1,,,,,,,,,,,,,,,
SRP409J1,,,,,,,,,,,,,,,
SRP411K1,,,,,,,,,,,,,,,
SRP430K1,,,,,,,,,,,,,,,
SRP431J1,,,"Seiko 5 SRP431 Sports, GMT Automatic Men's",Seiko,Seiko 5,Automatic,,,"Sports, GMT",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
SRP433,,,,,,,,,,,,,,,
SRP437,,,,,,,,,,,,,,,
SRP449K1,,,,,,,,,,,,,,,
SRP455,,,,,,,,,,,,,,,
SRP463J1,,,,,,,,,,,,,,,
SRP481K1,,,"Seiko Diver Seiko SRP481 ""Mini Ice Monster"" Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,12mm,42mm(without crown),22mm
SRP483K1,,,"Seiko Diver Seiko SRP483 ""Mini Monster"" Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,12mm,42mm(without crown),22mm
SRP487K1,,,"Seiko Diver Seiko SRP487 ""Mini Monster"" Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,12mm,42mm(without crown),22mm
SRP495J1,,,,,,,,,,,,,,,
SRP506J1,,,,,,,,,,,,,,,
SRP537J1,,,,,,,,,,,,,,,
SRP543J1,,,,,,,,,,,,,,,
SRP549J1,,,,,,,,,,,,,,,
SRP549K1,4R36-03J0,,"Seiko Diver Seiko SRP549 (4R36-03J0) Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,12mm,44mm(without crown),22mm
SRP563,,,,,,,,,,,,,,,
SRP581K1,,,,,,,,,,,,,,,
SRP585K1,,,Seiko Diver Seiko Prospex SRP585 Diver Automatic Men's,Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,14mm,45mm(without crown),22mm
SRP587K1,,,,,,,,,,,,,,,
SRP589K1,,,,,,,,,,,,,,,
SRP599J1,,,,,,,,,,,,,,,
SRP601,,,,,,,,,,,,,,,
SRP601J1,,,"Seiko Diver Seiko SRP601 ""New Monster"" Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
SRP605,,,"Seiko Diver Seiko SRP605 ""New Monster"" Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
SRP605K2,,,"Seiko Diver Seiko SRP605 ""New Monster"" Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
SRP637,4R36-03Z0,,Seiko Diver Seiko SRP637 (4R36-03Z0) Diver Automatic Men's,Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,14mm,47mm(without crown),22mm
SRP637K1,4R36-03Z0,,Seiko Diver Seiko SRP637 (4R36-03Z0) Diver Automatic Men's,Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,14mm,47mm(without crown),22mm
SRP639,4R36-03Z0,,Seiko Diver Seiko SRP639 (4R36-03Z0) Diver Automatic Men's,Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,14mm,47mm(without crown),22mm
SRP641,4R36-03Z0,,Seiko Diver Seiko SRP641 (4R36-03Z0) Diver Automatic Men's,Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,14mm,47mm(without crown),22mm
SRP655K1,,,,,,,,,,,,,,,
SRP657,,,,,,,,,,,,,,,
SRP663J1,,,,,,,,,,,,,,,
SRP665K1,4R36-0C4C,,"Seiko 5 SRP665 (4R36-0C4C) Sports, Military / Field, Pilot Automatic Men's",Seiko,Seiko 5,Automatic,,,"Sports, Military / Field, Pilot",Stainless Steel,100 Meters(baths & shallow diving),Round,12mm,44mm(without crown),22mm
SRP677K2,,,,,,,,,,,,,,,
SRP685J1,,,,,,,,,,,,,,,
SRP689J1,,,,,,,,,,,,,,,
SRP705K1,,,,,,,,,,,,,,,
SRP707K1,,,,,,,,,,,,,,,
SRP719K1,,,,,,,,,,,,,,,
SRP721K1,,,,,,,,,,,,,,,
SRP723K,,,,,,,,,,,,,,,
SRP723K1,4R36-04A0,,"Seiko 5 SRP723 (4R36-04A0) Sports, GMT Automatic Men's",Seiko,Seiko 5,Automatic,,,"Sports, GMT",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
SRP731K1,4R36-04P0,,"Seiko Diver Seiko SRP731 (4R36-04P0) Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,45mm(without crown),22mm
SRP733J1,,,,,,,,,,,,,,,
SRP735K1,4R36-04P0,,"Seiko Diver Seiko SRP735 (4R36-04P0) Sports, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Sports, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,45mm(without crown),22mm
SRP739J1,,,,,,,,,,,,,,,
SRP745J1,4R36-04V0,,"Seiko 5 SRP745 (4R36-04V0) Sports, Military / Field Automatic Men's",Seiko,Seiko 5,Automatic,,,"Sports, Military / Field",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
SRP745K1,,,,,,,,,,,,,,,
SRP763JC,,,,,,,,,,,,,,,
SRP765J2,,,,,,,,,,,,,,,
SRP769K2,,,,,,,,,,,,,,,
SRP772K1,,,,,,,,,,,,,,,
SRP773,4R36-04Y0,,"Seiko Diver Seiko Prospex SRP773 ""Turtle"" (4R36-04Y0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Cushion,14mm,44mm(without crown),22mm
SRP773J1,,,,,,,,,,,,,,,
SRP773K1,4R36-04Y0,,"Seiko Diver Seiko Prospex SRP773 ""Turtle"" (4R36-04Y0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Cushion,14mm,44mm(without crown),22mm
SRP775,4R36-04Y0,,"Seiko Diver Seiko Prospex SRP775 ""Turtle"" (4R36-04Y0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Cushion,14mm,44mm(without crown),22mm
SRP775J1,,,,,,,,,,,,,,,
SRP777,,,,,,,,,,,,,,,
SRP777J1,4R36-04Y0,,"Seiko Diver Seiko Prospex SRP777 ""Turtle"" (4R36-04Y0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Cushion,14mm,44mm(without crown),22mm
SRP777K1,4R36-04Y0,,"Seiko Diver Seiko Prospex SRP777 ""Turtle"" (4R36-04Y0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Cushion,14mm,44mm(without crown),22mm
SRP779,4R36-04Y0,,"Seiko Diver Seiko Prospex SRP779 ""Turtle"" (4R36-04Y0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Cushion,14mm,44mm(without crown),22mm
SRP779J1,,,,,,,,,,,,,,,
SRP787K1,,,,,,,,,,,,,,,
SRP789K1,,,,,,,,,,,,,,,
SRP795J1,,,,,,,,,,,,,,,
SRPA03J1,,,,,,,,,,,,,,,
SRPA13J1,,,,,,,,,,,,,,,
SRPA17J1,,,,,,,,,,,,,,,
SRPA21,4R36-05H0,,"Seiko Diver Seiko Prospex SRPA21 ""PADI"" (4R36-05H0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Cushion,13mm,45mm(without crown),22mm
SRPA23J1,,,,,,,,,,,,,,,
SRPA27,,,,,,,,,,,,,,,
SRPA28J1,,,,,,,,,,,,,,,
SRPA28K1,,,,,,,,,,,,,,,
SRPA49K1,,,,,,,,,,,,,,,
SRPA55K1,,,,,,,,,,,,,,,
SRPA71J1,,,,,,,,,,,,,,,
SRPA79J1,,,,,,,,,,,,,,,
SRPA79K1,4R36-05V0,,"Seiko Diver Seiko Prospex SRPA79 ""Tuna"" (4R36-05V0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,13mm,52mm(without crown),22mm
SRPA81,,,,,,,,,,,,,,,
SRPA82K1,,,,,,,,,,,,,,,
SRPA83J1,,,,,,,,,,,,,,,
SRPA83K,4R36-05V0,,"Seiko Diver Seiko Prospex SRPA83 ""PADI"" (4R36-05V0) Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,Diver,Stainless Steel,200 Meters(scuba diving),Round,13mm,52mm(without crown),22mm
SRPA87K1,,,,,,,,,,,,,,,
SRPA89K1,,,,,,,,,,,,,,,
SRPA93J1,4R35-01M0,,Seiko 5 SRPA93 (4R35-01M0) Sports Automatic Men's,Seiko,Seiko 5,Automatic,,,Sports,Stainless Steel,100 Meters(baths & shallow diving),Cushion,14mm,45mm(without crown),22mm
SRPB01K1,,,,,,,,,,,,,,,
SRPB051,,,,,,,,,,,,,,,
SRPB09,,,,,,,,,,,,,,,
SRPB09J1,,,,,,,,,,,,,,,
SRPB11K1,,,,,,,,,,,,,,,
SRPB13K,,,,,,,,,,,,,,,
SRPB13K1,,,,,,,,,,,,,,,
SRPB15K1,,,,,,,,,,,,,,,
SRPB19K1,,,,,,,,,,,,,,,
SRPB23K1,,,,,,,,,,,,,,,
SRPB33K1,,,,,,,,,,,,,,,
SRPB35J1,,,,,,,,,,,,,,,
SRPB37J1,,,,,,,,,,,,,,,
SRPB37K1,,,,,,,,,,,,,,,
SRPB39J1,,,,,,,,,,,,,,,
SRPB39K1,,,,,,,,,,,,,,,
SRPB41,4R35-01T0,,"Seiko Seiko SARY073 ""SRPB41"" (4R35-01T0) Dress Automatic Men's",Seiko,Seiko Sar,Automatic,,,Dress,Stainless Steel,50 Meters(baths & showers),Round,12mm,41mm(without crown),20mm
SRPB41J1,,,,,,,,,,,,,,,
SRPB46J1,,,,,,,,,,,,,,,
SRPB47J1,,,,,,,,,,,,,,,
SRPB49J,,,,,,,,,,,,,,,
SRPB49J1,,,,,,,,,,,,,,,
SRPB49JC,,,,,,,,,,,,,,,
SRPB51,,,,,,,,,,,,,,,
SRPB51JC,,,,,,,,,,,,,,,
SRPB53J1,,,,,,,,,,,,,,,
SRPB53K1,,,,,,,,,,,,,,,
SRPB55J,,,,,,,,,,,,,,,
SRPB55J1,,,,,,,,,,,,,,,
SRPB55K1,,,,,,,,,,,,,,,
SRPB67J1,,,,,,,,,,,,,,,
SRPB77,,,,,,,,,,,,,,,
SRPB87K,,,,,,,,,,,,,,,
SRPB89,,,,,,,,,,,,,,,
SRPB91K1,,,,,,,,,,,,,,,
SRPB93J1,,,,,,,,,,,,,,,
SRPB93K1,,,,,,,,,,,,,,,
SRPB96J1,,,,,,,,,,,,,,,
SRPB96K1,,,,,,,,,,,,,,,
SRPB97,,,,,,,,,,,,,,,
SRPB99J1,,,,,,,,,,,,,,,
SRPB99K1,,,,,,,,,,,,,,,
SRPC03,,,,,,,,,,,,,,,
SRPC07,,,,,,,,,,,,,,,
SRPC09J1,,,,,,,,,,,,,,,
SRPC09K1,,,,,,,,,,,,,,,
SRPC11K1,,,,,,,,,,,,,,,
SRPC13K1,,,,,,,,,,,,,,,
SRPC17K1,,,,,,,,,,,,,,,
SRPC21,,,,,,,,,,,,,,,
SRPC21K1,,,,,,,,,,,,,,,
SRPC21KI,,,,,,,,,,,,,,,
SRPC22K1,,,,,,,,,,,,,,,
SRPC23,,,,,,,,,,,,,,,
SRPC23J1,,,,,,,,,,,,,,,
SRPC23K,,,,,,,,,,,,,,,
SRPC25J1,,,,,,,,,,,,,,,
SRPC25K1,,,,,,,,,,,,,,,
SRPC29,,,,,,,,,,,,,,,
SRPC29K1,,,,,,,,,,,,,,,
SRPC31K1,,,,,,,,,,,,,,,
SRPC33,,,,,,,,,,,,,,,
SRPC33J1,,,,,,,,,,,,,,,
SRPC33K1,,,,,,,,,,,,,,,
SRPC35K1,,,,,,,,,,,,,,,
SRPC37K1,,,,,,,,,,,,,,,
SRPC39,,,,,,,,,,,,,,,
SRPC39J1,,,,,,,,,,,,,,,
SRPC39K1,,,,,,,,,,,,,,,
SRPC41K1,,,,,,,,,,,,,,,
SRPC44,,,,,,,,,,,,,,,
SRPC49K1,,,,,,,,,,,,,,,
SRPC51J1,,,,,,,,,,,,,,,
SRPC51K,,,,,,,,,,,,,,,
SRPC51K1,,,,,,,,,,,,,,,
SRPC53J1,,,,,,,,,,,,,,,
SRPC53K1,,,,,,,,,,,,,,,
SRPC55J1,,,,,,,,,,,,,,,
SRPC55K1,,,,,,,,,,,,,,,
SRPC57K,,,,,,,,,,,,,,,
SRPC57K1,,,,,,,,,,,,,,,
SRPC59J1,,,,,,,,,,,,,,,
SRPC59K1,,,,,,,,,,,,,,,
SRPC61,,,,,,,,,,,,,,,
SRPC61K1,,,,,,,,,,,,,,,
SRPC63K1,,,,,,,,,,,,,,,
SRPC65K1,,,,,,,,,,,,,,,
SRPC67K1,,,,,,,,,,,,,,,
SRPC68,,,,,,,,,,,,,,,
SRPC77,,,,,,,,,,,,,,,
SRPC79J1,,,,,,,,,,,,,,,
SRPC81J1,,,,,,,,,,,,,,,
SRPC89K1,,,,,,,,,,,,,,,
SRPC91,,,,,,,,,,,,,,,
SRPC93K1,,,,,,,,,,,,,,,
SRPC96,,,,,,,,,,,,,,,
SRPD015,,,,,,,,,,,,,,,
SRPD01K1,,,,,,,,,,,,,,,
SRPD03K1,,,,,,,,,,,,,,,
SRPD21K1,,,,,,,,,,,,,,,
SRPD23,,,,,,,,,,,,,,,
SRPD23K1,,,,,,,,,,,,,,,
SRPD25K1,,,,,,,,,,,,,,,
SRPD35K1,,,,,,,,,,,,,,,
SRPD37J1,,,,,,,,,,,,,,,
SRPD39J1,,,,,,,,,,,,,,,
SRPD41,,,,,,,,,,,,,,,
SRPD51K1,,,,,,,,,,,,,,,
SRPD51K2,,,,,,,,,,,,,,,
SRPD53K1,,,,,,,,,,,,,,,
SRPD55,,,,,,,,,,,,,,,
SRPD55K1,,,,,,,,,,,,,,,
SRPD57K1,,,,,,,,,,,,,,,
SRPD59K1,,,,,,,,,,,,,,,
SRPD61,,,,,,,,,,,,,,,
SRPD63,,,,,,,,,,,,,,,
SRPD63K1,,,,,,,,,,,,,,,
SRPD65,,,,,,,,,,,,,,,
SRPD65K1,,,,,,,,,,,,,,,
SRPD67,,,,,,,,,,,,,,,
SRPD67K1,,,,,,,,,,,,,,,
SRPD69K1,,,,,,,,,,,,,,,
SRPD71K1,,,,,,,,,,,,,,,
SRPD71K2,,,,,,,,,,,,,,,
SRPD73K1,,,,,,,,,,,,,,,
SRPD76K1,,,,,,,,,,,,,,,
SRPD77,,,,,,,,,,,,,,,
SRPD77K1,,,,,,,,,,,,,,,
SRPD79,,,,,,,,,,,,,,,
SRPD81,,,,,,,,,,,,,,,
SRPD81K1,,,,,,,,,,,,,,,
SRPD83K1,,,,,,,,,,,,,,,
SRPD85K1,,,,,,,,,,,,,,,
SRPD93,,,,,,,,,,,,,,,
SRPE05K1,,,,,,,,,,,,,,,
SRPE07,,,,,,,,,,,,,,,
SRPE15J1,,,,,,,,,,,,,,,
SRPE19J1,,,,,,,,,,,,,,,
SRPE31K1,,,,,,,,,,,,,,,
SRPE35,,,,,,,,,,,,,,,
SRPE35J1,,,,,,,,,,,,,,,
SRPE35K1,,,,,,,,,,,,,,,
SRPE37J1,,,,,,,,,,,,,,,
SRPE45J1,,,,,,,,,,,,,,,
SRPE51K1,,,,,,,,,,,,,,,
SRPE55,,,,,,,,,,,,,,,
SRPE55K1,,,,,,,,,,,,,,,
SRPE57K1,,,,,,,,,,,,,,,
SRPE61,,,,,,,,,,,,,,,
SRPE63K1,,,,,,,,,,,,,,,
SRPE69K1,,,,,,,,,,,,,,,
SRPE71K1,,,,,,,,,,,,,,,
SRPE72,,,,,,,,,,,,,,,
SRPE72K1,,,,,,,,,,,,,,,
SRPE74K,,,,,,,,,,,,,,,
SRPE74K1,,,,,,,,,,,,,,,
SRPE75K1,,,,,,,,,,,,,,,
SRPE77K1,,,,,,,,,,,,,,,
SRPE79,,,,,,,,,,,,,,,
SRPE79K1,,,,,,,,,,,,,,,
SRPE81K1,,,,,,,,,,,,,,,
SRPE93,,,,,,,,,,,,,,,
SRPF03K1,,,,,,,,,,,,,,,
SRPF13K1,,,,,,,,,,,,,,,
SRPF20K1,,,,,,,,,,,,,,,
SRPF81K,,,,,,,,,,,,,,,
SRPF83K1,,,,,,,,,,,,,,,
SRPG07,,,,,,,,,,,,,,,
SRPG17K1,,,,,,,,,,,,,,,
SRPG18,,,,,,,,,,,,,,,
SRPG19K1,,,,,,,,,,,,,,,
SRPG21K1,,,,,,,,,,,,,,,
SRPG35K1,,,,,,,,,,,,,,,
SRPG39K1,,,,,,,,,,,,,,,
SRPG41K1,,,,,,,,,,,,,,,
SRPG57K1,,,,,,,,,,,,,,,
SRPH11K1,,,,,,,,,,,,,,,
SRPH13K1,,,,,,,,,,,,,,,
SRPH15K1,,,,,,,,,,,,,,,
SRPH21K1,,,,,,,,,,,,,,,
SRPH25K1,,,,,,,,,,,,,,,
SRPH29K1,,,,,,,,,,,,,,,
SRPH31K1,,,,,,,,,,,,,,,
SRPH35K,,,,,,,,,,,,,,,
SRPH57,,,,,,,,,,,,,,,
SRPH59,,,,,,,,,,,,,,,
SRPH78J1,,,,,,,,,,,,,,,
SRPJ43JT,,,,,,,,,,,,,,,
SRPJ43K1,,,,,,,,,,,,,,,
SRPJ49,,,,,,,,,,,,,,,
SRPJ57,,,,,,,,,,,,,,,
SRPJ61,,,,,,,,,,,,,,,
SRRY016,,,,,,,,,,,,,,,
SRRY020,,,,,,,,,,,,,,,
SRRY022,,,,,,,,,,,,,,,
SRRY025,,,,,,,,,,,,,,,
SRRY027,,,,,,,,,,,,,,,
SRRY028,,,,,,,,,,,,,,,
SRRY033,,,,,,,,,,,,,,,
SRRY039,,,,,,,,,,,,,,,
SRRY041,,,,,,,,,,,,,,,
SRRY045,,,,,,,,,,,,,,,
SRRY048,,,,,,,,,,,,,,,
SRX003P1,,,,,,,,,,,,,,,
SRX004P1,,,,,,,,,,,,,,,
SRX013P1,,,,,,,,,,,,,,,
SRX015P1,,,,,,,,,,,,,,,
SRX017,,,,,,,,,,,,,,,
SRZ508P1,,,,,,,,,,,,,,,
SS6306 7010,,,,,,,,,,,,,,,
SS6306-7010,,,,,,,,,,,,,,,
SSA003,,,,,,,,,,,,,,,
SSA005,,,,,,,,,,,,,,,
SSA005J1,,,,,,,,,,,,,,,
SSA007J1,,,,,,,,,,,,,,,
SSA057J1,4R37-00F0,,"Seiko Diver Seiko SSA057 (4R37-00F0) Military / Field, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Military / Field, Diver",Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,43mm(without crown),22mm
SSA061J1,,,,,,,,,,,,,,,
SSA063J1,,,Seiko 5 SSA063 Sports Automatic Men's,Seiko,Seiko 5,Automatic,,,Sports,Stainless Steel,100 Meters(baths & shallow diving),Round,13mm,42mm(without crown),22mm
SSA086JC,,,,,,,,,,,,,,,
SSA093J1,,,,,,,,,,,,,,,
SSA097,,,,,,,,,,,,,,,
SSA113K1,,,,,,,,,,,,,,,
SSA167J1,,,Seiko 5 SSA167 Sports Automatic Men's,Seiko,Seiko 5,Automatic,,,Sports,Stainless Steel,100 Meters(baths & shallow diving),Round,12mm,43mm(without crown),22mm
SSA213J1,,,,,,,,,,,,,,,
SSA231K1,,,,,,,,,,,,,,,
SSA283J1,,,,,,,,,,,,,,,
SSA283K1,,,Seiko 5 Diastar SSA283 Sports Automatic Men's,Seiko,Seiko 5,Automatic,,,Sports,Stainless Steel,100 Meters(baths & shallow diving),Cushion,13mm,44mm(without crown),22mm
SSA301K1,,,,,,,,,,,,,,,
SSA303J1,,,,,,,,,,,,,,,
SSA309J1,,,,,,,,,,,,,,,
SSA313,,,,,,,,,,,,,,,
SSA317K1,,,,,,,,,,,,,,,
SSA339J1,,,,,,,,,,,,,,,
SSA343J1,,,,,,,,,,,,,,,
SSA345,,,,,,,,,,,,,,,
SSA345J1,,,,,,,,,,,,,,,
SSA346J1,,,,,,,,,,,,,,,
SSA347J1,,,,,,,,,,,,,,,
SSA351JC,,,,,,,,,,,,,,,
SSA355J1,,,,,,,,,,,,,,,
SSA357J1,,,,,,,,,,,,,,,
SSA379J1,,,,,,,,,,,,,,,
SSA387J1,,,,,,,,,,,,,,,
SSA391,,,,,,,,,,,,,,,
SSA405J1,,,,,,,,,,,,,,,
SSA407J1,,,,,,,,,,,,,,,
SSA409J1,,,,,,,,,,,,,,,
SSA457J1,,,,,,,,,,,,,,,
SSA457JC,,,,,,,,,,,,,,,
SSA880,,,,,,,,,,,,,,,
SSB009P1,,,,,,,,,,,,,,,
SSB025,6T63-00D0,,Seiko Chrono SSB025 (6T63-00D0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,40mm(without crown),20mm
SSB025P1,,,,,,,,,,,,,,,
SSB027,6T63-00D0,,Seiko Chrono SSB027 (6T63-00D0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,40mm(without crown),20mm
SSB027P1,6T63-00D0,,Seiko Chrono SSB027 (6T63-00D0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,40mm(without crown),20mm
SSB029,6T63-00D0,,Seiko Chrono SSB029 (6T63-00D0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,40mm(without crown),20mm
SSB031,6T63-00D0,,Seiko Chrono SSB031 (6T63-00D0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,40mm(without crown),20mm
SSB031P1,6T63-00D0,,Seiko Chrono SSB031 (6T63-00D0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,40mm(without crown),20mm
SSB031PC,,,,,,,,,,,,,,,
SSB033,6T63-00D0,,Seiko Chrono SSB033 (6T63-00D0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,40mm(without crown),20mm
SSB037,6T63-00B0,,Seiko Chrono SSB037 (6T63-00B0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,41mm(without crown),19mm
SSB039,6T63-00B0,,Seiko Chrono SSB039 (6T63-00B0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,41mm(without crown),19mm
SSB041P1,,,,,,,,,,,,,,,
SSB045,6T63-00B0,,Seiko Chrono SSB045 (6T63-00B0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,41mm(without crown),19mm
SSB051,,,,,,,,,,,,,,,
SSB057P1,,,,,,,,,,,,,,,
SSB065P1,,,,,,,,,,,,,,,
SSB067P1,,,,,,,,,,,,,,,
SSB071,,,,,,,,,,,,,,,
SSB085,6T63-00H0,,Seiko Chrono SSB085 (6T63-00H0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,42mm(without crown),20mm
SSB087,6T63-00H0,,Seiko Chrono SSB087 (6T63-00H0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,42mm(without crown),20mm
SSB089,6T63-00H0,,Seiko Chrono SSB089 (6T63-00H0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,42mm(without crown),20mm
SSB090,6T63-00H0,,Seiko Chrono SSB090 (6T63-00H0) Chronograph Quartz Men's,Seiko,Seiko Chrono,Quartz,,,Chronograph,Stainless Steel,100 Meters(baths & shallow diving),Round,11mm,42mm(without crown),20mm
