MPN,Ref,EPID,Title,Brand,Model,Movement,Beats per Hour,Jewels,Style,Case Material,Water Resistance,Watch Shape,Case Thickness,Case Width,Band Width
,6217-8001,,"Seiko Diver Seiko 6217-8001 ""62MAS"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,37mm(without crown),19mm
,6306-7000,,"Seiko Diver Seiko 6306-7000 Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
,6306-7001,,"Seiko Diver Seiko 6306-7001 Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,44mm(without crown),22mm
,6309-7040,,"Seiko Diver Seiko 6309-7040 ""SDE091 / Turtle"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,45mm(without crown),22mm
,6309-7049,,"Seiko Diver Seiko 6309-7049 ""SDE095 / Turtle"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,45mm(without crown),22mm
,6309-7290,,"Seiko Diver Seiko 6309-7290 ""SDEB37 / Turtle"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,41mm(without crown),22mm
,6309-729A,,"Seiko Diver Seiko 6309-729A ""SDEB39 / Turtle"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,41mm(without crown),22mm
,6619-7070,,"Seiko 5 6619-7070 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,35mm(without crown),18mm
,6619-8050,,"Seiko 5 6619-8050 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,36mm(without crown),18mm
,6619-8060,,"Seiko 5 6619-8060 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,36mm(without crown),18mm
,6619-8090,,"Seiko 5 6619-8090 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,36mm(without crown),18mm
,6619-8290,,"Seiko 5 6619-8290 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,35mm(without crown),18mm
,6619-8970,,"Seiko 5 6619-8970 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,36mm(without crown),18mm
,6619-9000,,"Seiko 5 6619-9000 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,39mm(without crown),20mm
,6619-9010,,"Seiko 5 6619-9010 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,50 Meters(baths & showers),Round,12mm,39mm(without crown),20mm
,6619-9990,,"Seiko 5 6619-9990 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,12mm,37mm(without crown),18mm
,7002-7000,,"Seiko Diver Seiko 7002-7000 ""SDS001"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,41mm(without crown),22mm
,7002-7001,,"Seiko Diver Seiko 7002-7001 ""SDS001"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,41mm(without crown),22mm
,7002-7009,,"Seiko Diver Seiko 7002-7009 ""SDS005"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,41mm(without crown),22mm
,7002-700A,,"Seiko Diver Seiko 7002-700A ""SDS003"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,41mm(without crown),22mm
,7002-7020,,"Seiko Diver Seiko 7002-7020 ""SDS099"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,200 Meters(baths & shallow diving),Round,13mm,41mm(without crown),22mm
,7009-3140,,"Seiko 5 7009-3140 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,10mm,37mm(without crown),18mm
,7009-3170,,"Seiko 5 7009-3170 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,10mm,36mm(without crown),18mm
,7009-4040,,"Seiko 5 7009-4040 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,10mm,36mm(without crown),18mm
,7009-5110,,"Seiko 5 7009-5110 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,10mm,37mm(without crown),NA
,7009-8590,,"Seiko 5 7009-8590 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,10mm,36mm(without crown),18mm
,7009-8920,,"Seiko 5 7009-8920 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,10mm,35mm(without crown),18mm
,7619-7020,,"Seiko 5 7619-7020 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,11mm,37mm(without crown),18mm
,7619-7040,,"Seiko 5 7619-7040 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,11mm,37mm(without crown),18mm
,7619-7060,,"Seiko 5 7619-7060 ""Sportsmatic"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,11mm,37mm(without crown),18mm
7T62SNA411,7T62-0EB0,,"Seiko Chrono SNA411 (7T62-0EB0) Pilot, Chronograph Quartz Men's",Seiko,Seiko Chrono,Quartz,,,"Pilot, Chronograph",Stainless Steel,200 Meters(baths & shallow diving),Round,13mm,42mm(without crown),20mm
AABT062,,,,,,,,,,,,,,,
AABW149,,,,,,,,,,,,,,,
AACCA401,,,,,,,,,,,,,,,
AAND001,,,,,,,,,,,,,,,
AAND701,,,,,,,,,,,,,,,
ABFD029,,,,,,,,,,,,,,,
ABFT006,,,,,,,,,,,,,,,
ABGX061,,,,,,,,,,,,,,,
ACAM003,,,,,,,,,,,,,,,
ACBX111,,,,,,,,,,,,,,,
ACCA401,,,,,,,,,,,,,,,
ACCA701,,,,,,,,,,,,,,,
ACCK402,,,,,,,,,,,,,,,
ACCK410,,,,,,,,,,,,,,,
ACCK420,,,,,,,,,,,,,,,
ACCK421,,,,,,,,,,,,,,,
ACCK422,,,,,,,,,,,,,,,
ACCK423,,,,,,,,,,,,,,,
ACCK424,,,,,,,,,,,,,,,
ACCK429,,,,,,,,,,,,,,,
ACCK430,,,,,,,,,,,,,,,
ACCK431,,,,,,,,,,,,,,,
ACCK432,,,,,,,,,,,,,,,
ACCK433,,,,,,,,,,,,,,,
ACCK711,,,,,,,,,,,,,,,
ACCK726,,,,,,,,,,,,,,,
ACCK727,,,,,,,,,,,,,,,
ADPE016,,,,,,,,,,,,,,,
AEFD529,,,,,,,,,,,,,,,
AEFD530,,,,,,,,,,,,,,,
AEFD533,,,,,,,,,,,,,,,
AEFD539,,,,,,,,,,,,,,,
AEFD540,,,,,,,,,,,,,,,
